Gender,Height,Age,Grade,18Under,schsport,schperformance,HMAth,Heng,APClasses,Wkhrs,HWhrs,bksPl,bksSch,SocMedaccts,WkOuthrs,PostHS,MovTh,Phonehrs,AlienVisit,Car,Attsince9,Academy,Cafetwice,Breakfast,Portable,LangFl,WWattzone,Pets,AMPractice,TruancyCt,HouseApt,DineOut,FavMovie,FavMus,Txborn,Referral,FavSubj,LikeBlock
Female,68,14,9,2,No,No,85,85,0,7,7,5,5,1,4,College,2,3,No,No,Yes,BUS,Yes,No,Yes,Yes,Yes,0,No,N0,House,1,5 feet apart,Latino,Yes,No,Math,No
Female,68,14,9,2,No,No,85,85,0,7,7,5,5,1,4,College,2,3,No,No,Yes,BUS,Yes,No,Yes,Yes,Yes,0,No,N0,House,1,5 feet apart,Latino,Yes,No,Math,No
Male,68,16,11,3,Yes,No,85,80,0,0,1,0,2,3,8,College,10,8,Yes,Yes,No,PA,No,No,Yes,Yes,Yes,3,Yes,N0,House,7,Grown ups,Rap/Hip Hop,No,No,Math,No
Male,56,15,10,2,Yes,No,95,90,2,0,2,0,2,3,1,College,3,5,No,No,Yes,BUS,Yes,Yes,Yes,Yes,No,0,No,N0,House,2,Boy in striped pjs,Latino,Yes,Yes,History,No
Male,66,18,12,2,No,No,100,100,0,0,8,8,7,0,2,College,5,3,No,No,Yes,IB,Yes,Yes,Yes,Yes,Yes,2,No,N0,House,0,Glorious Basterds,Rock/Metal,Yes,No,History,No
Male,66,16,11,4,Yes,Yes,86,100,0,13,0,0,0,2,5,Other,10,3,Yes,No,Yes,PA,Yes,No,Yes,No,Yes,1,Yes,Yes,House,2,Gravity,Pop,Yes,No,science,No
Male,67,15,10,3,No,No,78,75,0,0,0,0,0,4,7,Other,0,4,Yes,No,Yes,PA,No,No,Yes,Yes,Yes,0,Yes,N0,House,2,Paid in full,Rap/Hip Hop,Yes,Yes,History,Yes
Male,65,14,9,1,Yes,Yes,100,100,1,0,5,1,6,4,8,College,4,3,Yes,Yes,Yes,IB,No,Yes,Yes,No,Yes,1,Yes,N0,House,6,Spiderman into the spiderverse,Rock/Metal,Yes,No,Math,No
Male,66,16,11,4,No,No,100,93,7,0,3,75,3,0,4,College,15,1,No,Yes,Yes,STEM,Yes,Yes,Yes,No,Yes,1,No,N0,House,2,Spiderman Far from Home,Rap/Hip Hop,Yes,No,Math,Yes
Male,71,17,12,1,Yes,No,98,99,10,20,10,20,5,3,6,College,4,6,No,Yes,Yes,STEM,No,Yes,Yes,No,Yes,3,Yes,N0,House,4,Talledega nights,Rap/Hip Hop,Yes,No,History,Yes
Female,63,16,11,2,Yes,Yes,95,90,2,0,5,0,3,2,2,College,1,3,Yes,No,Yes,STEM,No,Yes,Yes,Yes,Yes,1,Yes,N0,House,1,Polar express,Countrry,Yes,No,Math,No
Female,62,15,10,3,Yes,No,95,85,2,0,0,0,2,2,8,College,12,8,No,No,Yes,PA,Yes,No,Yes,Yes,Yes,1,No,N0,House,4,Avengers endgame,Countrry,Yes,No,Math,Yes
Male,67,15,9,4,Yes,No,97,94,1,0,5,1,3,2,15,College,3,5,Yes,No,Yes,IB,Yes,No,Yes,No,No,0,Yes,N0,House,1,Rocky,Rap/Hip Hop,Yes,Yes,Math,Yes
Male,74,16,11,1,No,Yes,100,100,6,7,12,5,6,2,0,College,0,3,No,Yes,No,IB,No,Yes,Yes,No,Yes,2,No,N0,House,3,rushmore,Rock/Metal,No,No,science,No
Female,60,17,12,2,No,Yes,97,92,4,0,8,0,6,5,5,College,2,4,No,Yes,Yes,PA,No,Yes,Yes,Yes,No,1,Yes,N0,House,0,Hunger games,Pop,Yes,No,English,No
Male,73,15,9,3,Yes,No,80,100,1,0,4,0,0,3,5,College,10,7,No,No,Yes,BUS,Yes,Yes,Yes,No,Yes,2,No,Yes,House,2,American pie,Rap/Hip Hop,Yes,Yes,English,No
