track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
Mine (Taylor's Version),Taylor Swift,2023,7,7,15,36912123,121
Everybody Wants To Rule The World,Tears For Fears,1985,2,17,25,1205951614,112
No Role Modelz,J. Cole,2014,12,9,36,1791000570,100
Tattoo,Loreen,2023,2,25,59,201660859,150
Rara Vez,"Taiu, Milo j",2023,2,8,38,248088961,120
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",2023,5,12,34,90839753,127
august,Taylor Swift,2020,7,24,22,607123776,90
LUNA,"Junior H, Peso Pluma",2023,6,22,11,55842345,128
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023,3,10,48,211050784,143
Nonsense,Sabrina Carpenter,2022,7,15,27,342897938,139
Que Vuelvas,"Carin Leon, Grupo Frontera",2022,12,9,26,2762,162
Por las Noches,Peso Pluma,2021,6,11,24,330346424,92
Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022,8,19,38,601863821,95
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,8,16,52,1953533826,146
Watermelon Sugar,Harry Styles,2019,11,17,34,2322580122,95
lovely - Bonus Track,"Billie Eilish, Khalid",2017,8,11,30,2355719893,115
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023,6,21,32,66902503,128
Queencard,(G)I-DLE,2023,5,15,33,96273746,130
OMG,NewJeans,2023,1,2,27,430977451,127
Radio,Lana Del Rey,2011,1,1,46,284819874,150
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,1,11,44,721975598,122
505,Arctic Monkeys,2007,4,20,25,1217120710,140
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,6,2,16,109276132,140
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022,12,2,46,276259178,119
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,5,22,8,54225632,110
Perfect,Ed Sheeran,2017,1,1,13,2559529074,95
Romantic Homicide,d4vd,2022,7,20,23,681583126,132
Believer,Imagine Dragons,2017,1,31,23,2594040133,125
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,5,19,7,81102253,124
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,6,1,8,11956641,133
Without Me,Eminem,2002,1,1,43,1687664027,112
QUEMA,"Sog, Ryan Castro, Peso Pluma",2023,7,13,31,11599388,97
Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,11,24,32,611700552,90
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2022,5,6,38,1133865788,80
Somewhere Only We Know,Keane,2004,1,1,16,1089402494,172
Those Eyes,New West,2019,5,10,14,411747614,120
