track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
Plan A,Paulo Londra,2022,3,23,0,240661097,174
Fuera del mercado,Danny Ocean,2022,2,17,21,421365166,92
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2022,3,25,1,349746291,90
When You're Gone,Shawn Mendes,2022,3,31,0,255120451,147
In My Head,Lil Tjay,2022,4,1,0,190981339,143
Wait a Minute!,Willow,2015,1,11,0,924193303,101
LOVE DIVE,IVE,2022,4,5,8,305771063,118
Pantysito,"Feid, Alejo, Robi",2022,3,18,0,273005485,98
Chance,Paulo Londra,2022,4,6,0,89566512,138
Cool for the Summer,Demi Lovato,2015,1,1,0,677389855,114
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2022,4,7,0,75476209,180
Angel Baby,Troye Sivan,2021,9,9,9,408843328,145
Vampiro,"Matuï¿½ï¿½, Wiu, ",2022,1,30,4,187772591,115
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",2022,3,31,0,178512385,82
Right On,Lil Baby,2022,4,8,0,101780047,166
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",2022,3,30,2,118381354,92
That's Hilarious,Charlie Puth,2022,4,8,2,146363130,108
Soy El Unico,Yahritza Y Su Esencia,2022,3,25,0,126443991,84
RUMBATï¿½,Daddy Yankee,2022,3,25,0,157990698,95
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",2022,3,17,0,176290831,135
Falling,Harry Styles,2019,12,13,0,1023187129,110
Sigue,"Ed Sheeran, J Balvin",1996,11,24,0,106933107,88
Fim de Semana no Rio,teto,2022,3,30,2,139193812,119
MANIAC,Stray Kids,2022,3,18,0,212234990,120
There's Nothing Holdin' Me Back,Shawn Mendes,2016,9,23,0,1714490998,122
IDGAF (with blackbear),"Blackbear, BoyWithUke",2022,3,18,0,197643795,98
Golden,Harry Styles,2019,12,13,1,807015863,140
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",2013,1,1,0,933815613,116
Ain't Shit,Doja Cat,2021,6,25,0,499710590,124
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",2022,2,25,0,120847157,105
Still Life,BIGBANG,2022,4,5,0,53909146,118
Photograph,Ed Sheeran,2014,6,20,3,2236667932,108
Love Yourself,Justin Bieber,2015,11,9,5,2123309722,100
N95,Kendrick Lamar,2022,5,13,0,301242089,140
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022,5,13,0,237351106,101
Despuï¿½ï¿½s de la P,Bad Bunny,2022,5,6,0,461558540,78
Un Ratito,Bad Bunny,2022,5,6,6,417230415,93
United In Grief,Kendrick Lamar,2022,5,13,0,156898322,87
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2022,5,13,0,127309180,153
Yo No Soy Celoso,Bad Bunny,2022,5,6,0,313113297,142
Rich Spirit,Kendrick Lamar,2022,5,13,0,173702135,96
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2022,5,12,0,271666301,125
Me Fui de Vacaciones,Bad Bunny,2022,5,6,0,305650299,85
Silent Hill,"Kendrick Lamar, Kodak Black",2022,5,13,0,123216717,140
La Corriente,"Tony Dize, Bad Bunny",2022,5,6,8,479655659,196
Count Me Out,Kendrick Lamar,2022,5,13,0,126191104,134
Andrea,"Buscabulla, Bad Bunny",2022,5,6,0,344055883,103
Dos Mil 16,Bad Bunny,2022,5,6,3,338422004,130
We Cry Together,"Kendrick Lamar, Taylour Paige",2022,5,13,0,68895644,108
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",2022,5,13,0,86176890,123
Un Coco,Bad Bunny,2022,5,6,28,403231558,152
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2022,5,6,7,319546754,108
Worldwide Steppers,Kendrick Lamar,2022,5,13,0,61739839,72
Aguacero,Bad Bunny,2022,5,6,0,283359161,121
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",2022,5,13,0,76831876,138
Un Verano Sin Ti,Bad Bunny,2022,5,6,1,283332261,188
ULTRA SOLO,"Polima WestCoast, Pailita",2022,2,14,0,307752576,110
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,2022,5,6,3,279737940,105
El Apagï¿½,Bad Bunny,2022,5,6,0,212351890,118
Callaita,"Bad Bunny, Tainy",2019,5,31,15,1304313953,176
Dua Lipa,Jack Harlow,2022,5,6,0,150500965,158
Agosto,Bad Bunny,2022,5,6,0,246127838,115
House Of Memories,Panic! At The Disco,2016,1,15,0,582863434,110
Mr. Morale,"Kendrick Lamar, Tanna Leone",2022,5,13,0,58687425,174
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2022,4,29,0,212109195,130
In The Stars,Benson Boone,2022,4,29,8,382199619,78
Rich - Interlude,Kendrick Lamar,2022,5,13,0,41210087,104
SUPERMODEL,Mï¿½ï¿½ne,2022,5,13,0,231657891,121
Stefania (Kalush Orchestra),KALUSH,2022,3,10,0,53729194,105
Thousand Miles,The Kid Laroi,2022,4,22,0,244741137,81
Crown,Kendrick Lamar,2022,5,13,0,42485571,170
Auntie Diaries,Kendrick Lamar,2022,5,13,0,37778188,78
PUFFIN ON ZOOTIEZ,Future,2022,4,29,0,254218729,125
Mirror,Kendrick Lamar,2022,5,13,0,53603447,92
Beautiful Girl,Luciano,2022,4,22,4,160035717,140
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2022,4,25,0,164163229,96
Savior - Interlude,Kendrick Lamar,2022,5,13,0,37091576,118
Pasoori,"Shae Gill, Ali Sethi",2022,2,6,6,284249832,92
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2022,5,13,0,33381454,140
TUS Lï¿½ï¿½GR,"Sech, Mora",2022,4,1,2,184622518,174
Where Did You Go?,"MNEK, Jax Jones",2022,1,26,0,300983101,127
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2022,5,6,0,121077868,96
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2022,4,29,0,106919680,150
ZOOM,Jessi,2022,4,13,0,136996305,100
SloMo,Chanel,2021,12,24,0,65719930,105
FEARLESS,LE SSERAFIM,2022,5,2,0,229497852,104
10 Things I Hate About You,Leah Kate,2022,3,23,0,185550869,154
SPACE MAN,Sam Ryder,2022,2,22,0,54682594,80
With you,"HA SUNG WOON, Jimin",2022,4,24,2,240580042,150
Iris,The Goo Goo Dolls,1998,3,31,9,1284942608,156
The Heart Part 5,Kendrick Lamar,2022,5,8,0,71423324,98
San Lucas,Kevin Kaarl,2019,11,7,1,244891912,92
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2022,5,6,0,132171975,144
Good Looking,Suki Waterhouse,2017,10,20,0,184706613,150
Yet To Come,BTS,2022,6,10,0,302006641,172
Run BTS,BTS,2022,6,10,0,330881149,77
Music For a Sushi Restaurant,Harry Styles,2022,5,20,1,334733572,107
Matilda,Harry Styles,2022,5,20,3,366214458,114
For Youth,BTS,2022,6,10,0,114546317,117
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022,5,6,0,448500832,160
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",2022,6,10,0,136676504,120
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",2022,5,27,0,190625045,100
Born Singer,BTS,2022,6,10,0,79095270,158
Little Freak,Harry Styles,2022,5,20,0,273194684,142
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",2022,5,20,3,333146475,170
True Love,"Kanye West, XXXTENTACION",2022,5,27,0,194902696,84
Satellite,Harry Styles,2022,5,20,5,311482393,139
Pass The Dutchie,Musical Youth,1982,1,1,0,195918494,151
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2022,6,8,0,248511839,128
Love Of My Life,Harry Styles,2022,5,20,0,233671263,118
Grapejuice,Harry Styles,2022,5,20,0,199587884,183
So Good,Halsey,2022,6,9,0,91781263,83
Belly Dancer,"BYOR, Imanbek",2022,2,18,13,383835984,122
Keep Driving,Harry Styles,2022,5,20,1,236060709,165
Cinema,Harry Styles,2022,5,20,0,189236868,106
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2022,5,25,0,160845341,77
Only Love Can Hurt Like This,Paloma Faith,2014,1,1,0,588955257,91
Hold My Hand,Lady Gaga,2022,5,3,0,238350348,148
Daydreaming,Harry Styles,2022,5,20,1,187703102,114
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2022,6,2,0,138334433,92
Me and Your Mama,Childish Gambino,2016,11,10,0,445590495,118
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",2022,3,18,0,286739476,123
SLOW DANCING IN THE DARK,Joji,2018,9,12,0,1122364376,89
Antes de Perderte,Duki,2022,6,2,8,157136970,110
Boyfriends,Harry Styles,2022,5,20,0,137070925,118
295,Sidhu Moose Wala,2021,5,15,4,183273246,90
Tak Ingin Usai,Keisya Levronka,2022,5,13,4,184807630,130
En El Radio Un Cochinero,Victor Cibrian,2022,5,13,0,164856284,154
Master of Puppets (Remastered),Metallica,1986,3,3,0,704171068,105
BREAK MY SOUL,Beyoncï¿,2022,6,21,0,354614964,115
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2022,6,16,0,279717388,110
Massive,Drake,2022,6,17,0,195628667,125
Betty (Get Money),Yung Gravy,2022,6,10,0,221752937,102
Ojos Marrones,Lasso,2022,2,6,11,263280370,120
POP!,Nayeon,2022,6,24,0,213505179,97
Layla,"Schï¿½ï¿½rze, DJ R",2022,3,24,3,130419412,140
MORE,j-hope,2022,7,1,0,155795783,97
Sweet Child O' Mine,Guns N' Roses,1987,1,1,1,1553497987,125
Last Last,Burna Boy,2022,5,12,12,293466523,88
Sticky,Drake,2022,6,17,0,191448892,137
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",2022,7,1,0,85924992,157
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",2022,6,3,4,176103902,130
La Loto,"Anitta, Tini, Becky G",2022,7,6,0,121189256,90
die first,Nessa Barrett,2022,6,24,0,131746175,183
Afraid To Feel,LF System,2022,5,2,5,244790012,128
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",2022,6,10,2,129314708,130
cï¿½ï¿½mo dormi,Rels B,2022,8,4,35,331511413,126
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",2022,8,5,0,219196651,120
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",2022,8,5,0,170732845,130
Caile,Luar La L,2020,12,18,2,273914335,122
Si Te La Encuentras Por Ahï¿,Feid,2022,8,5,4,179061440,172
GIVENCHY,Duki,2022,7,20,4,185236961,103
ALIEN SUPERSTAR,Beyoncï¿,2022,7,29,0,171788484,122
Mary On A Cross,Ghost,2019,9,13,2,387080183,130
Attention,NewJeans,2022,8,1,12,264717480,105
THE SHADE,Rex Orange County,2022,3,11,6,244928911,120
"Come Back Home - From ""Purple Hearts""",Sofia Carson,2022,7,12,0,97610446,145
El Rescate,"Grupo Marca Registrada, Junior H",2022,7,22,4,287278853,99
Heartless,Kanye West,2008,1,1,34,887906111,88
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",2022,7,15,0,123473120,126
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2022,8,15,5,295152154,136
JGL,"Luis R Conriquez, La Adictiva",2022,2,18,9,323455692,113
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",2022,6,16,0,240918092,132
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",2022,5,20,4,191873381,135
Hold Me Closer,"Elton John, Britney Spears",2017,11,10,0,284216603,126
Forget Me,Lewis Capaldi,2022,9,9,4,239411309,102
After LIKE,IVE,2022,8,22,12,265548837,125
Bound 2,Kanye West,2013,1,1,7,703301727,149
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2022,6,15,6,244585109,137
Talk that Talk,TWICE,2022,8,26,0,189476119,120
BILLIE EILISH.,Armani White,2022,1,20,0,277132266,100
Ferxxo 100,Feid,2022,6,3,30,278920007,164
KU LO SA - A COLORS SHOW,Oxlade,2022,6,10,8,222410722,93
Prohibidox,Feid,2022,9,13,12,185392587,180
Static,Steve Lacy,2022,7,15,0,202452860,79
The Scientist,Coldplay,2002,8,5,6,1608164312,146
Sparks,Coldplay,2000,7,10,4,624101957,103
Talk,YEAT,2022,9,2,0,148461629,140
XQ Te Pones Asï¿,"Yandel, Feid",2022,9,13,0,47093942,92
Selfish,PnB Rock,2016,6,23,0,380319238,102
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2022,7,22,2,209106362,118
Lady Mi Amor,Feid,2022,9,13,0,53987404,93
Poland,Lil Yachty,2022,6,23,0,115331792,150
THE LONELIEST,Mï¿½ï¿½ne,2022,10,7,5,225093344,130
Bye Bye,"Marshmello, Juice WRLD",2022,10,14,0,84697729,83
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",2022,8,18,0,159240673,102
Nxde,(G)I-DLE,2022,10,17,6,170709584,136
we fell in love in october,girl in red,2018,11,21,0,723043854,130
2 Be Loved (Am I Ready),Lizzo,2022,7,14,6,247689123,156
Celestial,Ed Sheeran,2022,9,29,0,176474912,123
Typa Girl,BLACKPINK,2022,9,16,10,235549288,132
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2020,12,18,1,140430339,125
California Breeze,Lil Baby,2022,10,14,0,85559365,162
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",2022,9,22,7,146223492,138
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",2022,7,1,4,187701588,161
Major Distribution,"Drake, 21 Savage",2022,11,4,0,154863153,131
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",2022,11,4,0,191333656,122
Vigilante Shit,Taylor Swift,2022,10,21,0,253650850,80
Question...?,Taylor Swift,2022,10,21,0,223064273,109
On BS,"Drake, 21 Savage",2022,11,4,0,170413877,158
Mastermind,Taylor Swift,2022,10,21,0,218320587,126
Circo Loco,"Drake, 21 Savage",2022,11,4,0,141720999,104
Labyrinth,Taylor Swift,2022,10,21,0,187339835,110
Spin Bout U,"Drake, 21 Savage",2022,11,4,2,198365537,130
Sweet Nothing,Taylor Swift,2022,10,21,0,186104310,177
"Would've, Could've, Should've",Taylor Swift,2022,10,21,0,177503916,158
Con La Brisa,"Ludwig Goransson, Foudeqush",2022,11,4,0,71095708,114
Privileged Rappers,"Drake, 21 Savage",2022,11,4,0,112436403,144
The Astronaut,Jin,2022,10,28,9,203436468,125
BackOutsideBoyz,Drake,2022,11,4,0,93367537,142
Broke Boys,"Drake, 21 Savage",2022,11,4,0,106249219,120
The Great War,Taylor Swift,2022,10,21,0,181382590,96
My Mind & Me,Selena Gomez,2022,11,3,0,91473363,144
Bigger Than The Whole Sky,Taylor Swift,2022,10,21,0,121871870,166
A Veces (feat. Feid),"Feid, Paulo Londra",2022,11,3,0,73513683,92
En La De Ella,"Feid, Sech, Jhayco",2022,10,20,0,133895612,97
Alone,Burna Boy,2022,11,4,2,96007391,90
